freq;euc;cana;ban;coco;cafe;gesso
8365.65;54.35;57.57;46.74;37.57;36.46;54.71
8487.33;54.23;58.85;48.24;39.10;37.89;56.44
8610.78;53.36;59.68;49.30;40.20;38.91;57.92
8736.03;52.07;60.10;50.07;41.01;39.38;59.25
8863.10;50.70;60.33;50.58;41.61;39.37;60.36
8992.01;49.52;60.52;50.71;41.93;39.13;61.05
9122.80;48.60;60.66;50.43;41.72;38.75;61.20
9255.50;47.84;60.63;49.83;40.84;38.00;60.75
9390.12;47.21;60.32;48.87;39.31;36.60;59.63
9526.70;46.88;59.67;47.55;37.29;34.57;57.83
9665.27;47.03;58.74;46.11;35.12;32.15;55.57
9805.86;47.67;57.76;44.85;33.31;29.81;53.44
9948.49;48.65;57.12;43.85;32.44;28.16;52.05
10093.19;49.78;57.16;43.14;32.92;27.77;51.75
10240.00;50.87;57.95;42.75;34.70;28.91;52.50
10388.94;51.58;59.26;42.71;37.21;31.28;53.88
10540.06;51.57;60.81;43.10;39.63;34.26;55.42
10693.36;50.72;62.29;44.00;41.30;37.28;56.83
10848.90;49.39;63.38;45.28;42.07;40.10;58.04
11006.70;48.28;63.81;46.60;42.24;42.66;59.16
11166.80;48.01;63.59;47.75;42.26;44.95;60.32
11329.22;48.75;63.06;48.65;42.46;46.91;61.56
11494.01;50.27;62.58;49.29;42.99;48.44;62.74
11661.20;52.17;62.38;49.66;43.77;49.56;63.59
11830.81;54.01;62.44;49.73;44.59;50.35;63.78
12002.90;55.45;62.69;49.41;45.21;50.78;63.19
12177.48;56.32;63.06;48.78;45.44;50.74;62.04
12354.61;56.68;63.52;47.91;45.28;50.16;60.74
12534.31;56.77;64.07;46.94;44.96;49.22;59.70
12716.62;56.86;64.70;46.03;44.85;48.29;59.24
12901.59;57.05;65.42;45.33;45.26;47.72;59.46
13089.25;57.28;66.25;44.93;46.19;47.67;60.21
13279.64;57.46;67.14;44.84;47.31;48.03;61.16
13472.79;57.52;67.90;45.03;48.27;48.53;62.02
13668.76;57.42;68.23;45.45;48.90;48.94;62.64
13867.58;57.14;67.93;46.02;49.21;49.15;63.04
14069.29;56.69;67.09;46.64;49.28;49.22;63.25
14273.93;56.18;65.97;47.16;49.16;49.23;63.25
14481.55;55.78;64.83;47.38;48.88;49.21;63.02
14692.19;55.65;63.85;47.20;48.47;49.16;62.60
14905.89;55.83;63.18;46.74;47.98;49.08;62.14
15122.70;56.19;62.93;46.23;47.47;48.98;61.73
15342.66;56.56;63.00;45.83;47.06;48.95;61.45
15565.83;56.83;63.17;45.63;46.92;49.15;61.40
15792.24;56.95;63.20;45.64;47.21;49.68;61.68
16021.94;56.84;62.99;45.84;47.90;50.51;62.31
16254.99;56.43;62.60;46.14;48.81;51.49;63.03
16491.42;55.80;62.10;46.47;49.66;52.39;63.59
16731.30;55.16;61.54;46.75;50.29;53.08;63.82
16974.66;54.75;60.92;46.95;50.63;53.51;63.75
17221.56;54.61;60.34;47.02;50.75;53.67;63.42
17472.05;54.61;59.85;46.95;50.75;53.60;62.96
17726.19;54.59;59.47;46.74;50.72;53.31;62.42
17984.02;54.48;59.12;46.39;50.70;52.85;61.85
18245.61;54.37;58.63;45.99;50.73;52.32;61.29
18510.99;54.42;57.77;45.63;50.82;51.90;60.78
18780.24;54.67;56.46;45.43;51.01;51.75;60.36
19053.41;55.00;54.83;45.45;51.33;51.85;60.03
19330.55;55.21;53.23;45.65;51.69;52.06;59.74
19611.72;55.27;51.98;45.94;52.02;52.19;59.44
19896.98;55.23;51.25;46.17;52.22;52.21;59.18
